location,temperature,charging_sessions_last_30d,firmware_version,cable_wear_indicator,voltage_instability_index,maintenance_type,next_maintenance_days
Location B,30.1,67,v2.0,0.81,1.08,No Maintenance Needed,272.92
Location D,29.55,65,v2.0,0.5,1.24,No Maintenance Needed,192.49
Location B,34.81,56,v1.0,0.53,0.8,Software Update/Reset,23.43
Location A,26.9,56,v1.1,0.7,1.59,Software Update/Reset,17.49
Location C,31.12,56,v2.0,0.51,1.2,No Maintenance Needed,330.09
Location B,27.17,58,v1.1,0.42,1.17,Software Update/Reset,13.7
Location B,30.12,53,v2.1,0.99,0.73,Cable Inspection/Replacement,9.6
Location D,23.34,58,v2.0,0.15,0.46,No Maintenance Needed,197.05
Location B,8.49,60,v1.2,0.59,0.78,No Maintenance Needed,274.98
Location B,26.93,60,v2.0,0.89,1.15,No Maintenance Needed,260.38
Location B,39.38,55,v1.2,0.69,0.8,No Maintenance Needed,244.38
Location D,35.41,75,v2.0,0.88,1.16,Connector Cleaning/Repair,51.62
Location B,35.72,62,v1.0,0.34,0.89,Software Update/Reset,23.95
Location C,37.89,56,v1.2,0.27,1.24,No Maintenance Needed,277.58
Location D,28.71,50,v1.1,0.85,0.61,Software Update/Reset,28.67
Location C,29.58,50,v2.0,0.39,1.1,No Maintenance Needed,268.98
Location D,23.06,53,v1.2,0.71,0.73,No Maintenance Needed,252.53
Location B,25.47,76,v1.2,0.15,0.46,Connector Cleaning/Repair,28.32
Location C,32.93,61,v1.2,0.76,0.92,No Maintenance Needed,247.97
Location D,37.63,56,v1.1,0.55,2.16,Software Update/Reset,39.02
Location A,26.88,75,v2.1,0.27,0.48,Connector Cleaning/Repair,21.47
Location B,24.4,71,v1.0,0.49,1.06,Software Update/Reset,30.11
Location D,28.0,64,v2.0,0.7,1.49,No Maintenance Needed,287.17
Location A,32.81,57,v2.0,0.01,3.16,Power Supply Unit Fault,5.88
Location D,16.45,58,v2.0,0.64,0.78,No Maintenance Needed,241.42
Location A,9.63,54,v1.2,0.54,0.73,No Maintenance Needed,276.32
Location B,23.6,60,v2.1,0.22,0.56,No Maintenance Needed,228.44
Location C,18.23,67,v1.1,0.75,1.77,Software Update/Reset,38.84
Location A,23.93,64,v2.0,0.3,0.65,No Maintenance Needed,283.26
Location D,26.82,60,v2.1,0.28,0.83,No Maintenance Needed,345.28
Location B,24.37,58,v2.0,0.47,0.4,No Maintenance Needed,283.08
Location A,39.62,80,v2.0,0.68,1.56,Connector Cleaning/Repair,23.67
Location D,30.61,66,v2.1,0.93,1.78,Cable Inspection/Replacement,19.69
Location D,30.4,57,v2.0,0.14,1.53,No Maintenance Needed,363.1
Location D,32.98,58,v1.1,0.4,0.45,Software Update/Reset,20.95
Location A,18.89,61,v1.2,0.07,1.35,No Maintenance Needed,315.45
Location A,36.31,50,v1.2,0.76,0.43,No Maintenance Needed,242.93
Location A,27.39,51,v1.2,0.45,1.03,No Maintenance Needed,330.51
Location C,33.36,75,v2.0,0.71,1.11,Connector Cleaning/Repair,30.06
Location A,19.43,64,v2.0,0.32,1.17,No Maintenance Needed,278.93
Location A,15.57,72,v1.0,0.84,1.31,Software Update/Reset,14.58
Location A,34.54,67,v2.0,0.53,1.0,No Maintenance Needed,337.22
Location C,31.01,69,v1.1,0.94,0.37,Cable Inspection/Replacement,13.78
Location A,20.78,54,v2.1,0.08,1.31,No Maintenance Needed,344.22
Location D,21.04,54,v2.1,0.51,1.05,No Maintenance Needed,336.68
Location A,37.0,37,v2.1,0.77,0.64,No Maintenance Needed,288.58
Location D,18.48,55,v2.0,0.6,0.46,No Maintenance Needed,343.25
Location D,41.14,53,v1.1,0.02,2.16,Software Update/Reset,35.5
Location D,20.8,61,v2.0,0.97,1.85,Cable Inspection/Replacement,13.84
Location C,33.11,58,v1.1,0.3,1.42,Software Update/Reset,23.17
Location C,25.37,49,v1.1,0.25,0.71,Software Update/Reset,17.62
Location C,32.83,65,v2.0,0.49,0.28,No Maintenance Needed,311.01
Location A,23.65,65,v1.0,0.54,1.47,Software Update/Reset,24.44
Location D,26.7,72,v2.1,0.77,1.2,Connector Cleaning/Repair,59.64
Location C,28.33,75,v2.1,0.39,0.83,Connector Cleaning/Repair,26.76
Location C,19.98,69,v1.2,0.44,1.75,Connector Cleaning/Repair,37.87
Location A,33.93,64,v2.0,0.53,1.53,No Maintenance Needed,186.79
Location C,23.89,76,v1.2,0.39,1.09,Connector Cleaning/Repair,52.1
Location A,26.17,62,v2.0,0.91,1.02,Cable Inspection/Replacement,6.31
Location B,20.05,75,v2.0,0.85,1.03,Connector Cleaning/Repair,28.09
Location C,7.5,60,v1.1,0.45,1.4,Software Update/Reset,40.06
Location B,26.47,67,v1.2,0.0,0.65,No Maintenance Needed,364.52
Location A,47.3,72,v1.2,0.9,1.24,Cable Inspection/Replacement,14.56
Location D,34.28,45,v2.1,0.12,0.63,No Maintenance Needed,181.63
Location C,27.85,61,v1.1,0.24,1.95,Software Update/Reset,24.26
Location A,25.9,69,v1.0,0.15,1.3,Software Update/Reset,35.78
Location D,28.18,48,v2.0,0.18,0.71,No Maintenance Needed,341.39
Location D,32.38,61,v2.0,0.8,1.04,No Maintenance Needed,363.99
Location B,18.55,58,v2.0,0.58,0.65,No Maintenance Needed,292.22
Location A,36.91,57,v2.0,0.96,2.12,Cable Inspection/Replacement,7.34
Location D,33.72,59,v2.0,0.23,2.25,No Maintenance Needed,236.01
Location C,33.75,74,v2.0,0.49,1.42,Connector Cleaning/Repair,27.59
Location C,31.51,66,v1.0,0.98,2.18,Cable Inspection/Replacement,8.62
Location B,28.16,60,v2.0,0.83,1.08,No Maintenance Needed,308.63
Location D,33.38,56,v1.0,0.73,1.46,Software Update/Reset,22.73
Location A,32.73,65,v1.2,0.19,1.84,No Maintenance Needed,253.59
Location C,25.17,60,v2.1,0.77,1.0,No Maintenance Needed,202.4
Location D,23.41,60,v1.2,0.35,1.04,No Maintenance Needed,353.89
Location D,28.81,52,v2.1,0.53,1.59,No Maintenance Needed,216.93
Location B,40.39,54,v1.1,0.61,1.38,Software Update/Reset,18.51
Location C,18.09,67,v1.2,0.61,0.69,No Maintenance Needed,239.29
Location C,16.26,54,v2.0,0.73,0.34,No Maintenance Needed,225.8
Location A,29.32,67,v2.0,0.66,0.92,No Maintenance Needed,185.95
Location C,28.41,59,v2.0,0.07,0.35,No Maintenance Needed,347.14
Location A,29.39,64,v2.0,0.46,0.61,No Maintenance Needed,234.94
Location C,29.95,68,v1.0,0.66,0.65,Software Update/Reset,28.99
Location B,26.21,55,v2.1,0.3,0.75,No Maintenance Needed,258.77
Location C,39.92,50,v1.1,0.31,1.51,Software Update/Reset,17.76
Location A,15.19,55,v2.0,0.12,1.68,No Maintenance Needed,200.91
Location A,21.37,64,v1.2,0.42,1.29,No Maintenance Needed,348.57
Location B,27.17,65,v2.0,0.99,1.37,Cable Inspection/Replacement,17.52
Location C,14.85,55,v2.0,0.29,1.39,No Maintenance Needed,248.6
Location C,26.59,58,v1.1,0.53,0.29,Software Update/Reset,35.33
Location B,41.29,65,v2.1,0.74,1.01,No Maintenance Needed,247.8
Location C,28.17,69,v1.1,0.01,0.41,Software Update/Reset,44.21
Location C,29.85,62,v1.1,0.9,1.29,Cable Inspection/Replacement,11.47
Location A,17.92,58,v2.0,0.39,0.35,No Maintenance Needed,257.7
Location C,23.07,60,v1.1,0.87,0.91,Software Update/Reset,28.68
Location C,25.0,61,v1.1,0.04,1.32,Software Update/Reset,19.76
Location B,25.46,70,v2.0,0.15,0.57,Connector Cleaning/Repair,25.43
Location B,38.25,76,v2.0,0.32,1.62,Connector Cleaning/Repair,33.84
Location D,32.46,54,v1.1,0.35,1.29,Software Update/Reset,19.67
Location A,19.11,69,v2.0,0.85,1.21,Connector Cleaning/Repair,58.98
Location C,29.97,66,v2.0,0.01,1.42,No Maintenance Needed,349.19
Location C,31.99,54,v2.0,0.64,0.84,No Maintenance Needed,359.21
Location D,37.12,51,v2.1,0.13,1.08,No Maintenance Needed,189.68
Location C,40.64,54,v2.0,0.82,1.01,No Maintenance Needed,262.92
Location A,19.88,65,v2.0,0.78,0.99,No Maintenance Needed,275.32
Location D,21.51,61,v1.2,0.5,0.71,No Maintenance Needed,249.59
Location A,17.94,68,v1.1,0.21,0.54,Software Update/Reset,16.82
Location D,26.13,63,v2.0,0.63,0.84,No Maintenance Needed,210.74
Location D,31.73,53,v2.1,0.16,0.82,No Maintenance Needed,232.74
Location B,35.9,63,v2.0,0.19,0.69,No Maintenance Needed,267.94
Location A,27.39,66,v1.0,0.63,1.53,Software Update/Reset,39.81
Location C,25.44,56,v1.2,0.99,0.56,Cable Inspection/Replacement,7.77
Location C,29.21,65,v2.0,0.89,0.92,No Maintenance Needed,278.56
Location A,21.32,59,v2.0,0.59,1.79,No Maintenance Needed,195.49
Location C,44.72,57,v2.0,0.54,1.58,No Maintenance Needed,261.63
Location C,15.14,55,v2.0,1.0,1.84,Cable Inspection/Replacement,15.3
Location A,29.48,64,v1.1,0.55,0.74,Software Update/Reset,12.19
Location D,44.19,69,v2.1,0.42,1.48,Connector Cleaning/Repair,53.66
Location A,28.05,63,v2.0,0.91,0.59,Cable Inspection/Replacement,16.32
Location D,26.48,49,v1.1,0.23,0.87,Software Update/Reset,22.56
Location C,25.14,70,v1.2,0.1,0.91,Connector Cleaning/Repair,45.82
Location C,26.56,69,v2.1,0.63,0.75,Connector Cleaning/Repair,43.34
Location C,38.98,69,v2.0,0.1,0.83,Connector Cleaning/Repair,33.3
Location B,10.31,60,v1.2,0.37,0.78,No Maintenance Needed,213.44
Location D,40.27,58,v1.0,0.42,0.61,Software Update/Reset,40.78
Location B,16.61,55,v1.0,0.55,1.53,Software Update/Reset,41.42
Location B,25.87,61,v1.1,0.99,0.91,Cable Inspection/Replacement,5.53
Location A,24.57,67,v2.0,0.22,1.11,No Maintenance Needed,235.26
Location B,32.71,67,v2.0,0.38,1.09,No Maintenance Needed,276.44
Location A,15.22,46,v2.0,0.13,1.03,No Maintenance Needed,360.63
Location A,31.7,65,v2.0,0.61,1.05,No Maintenance Needed,291.47
Location B,44.19,70,v1.0,0.73,0.86,Software Update/Reset,12.44
Location D,17.09,62,v1.1,0.48,2.03,Software Update/Reset,15.43
Location D,29.52,61,v1.2,0.25,1.46,No Maintenance Needed,354.57
Location D,22.7,73,v1.1,0.62,1.01,Software Update/Reset,16.5
Location D,31.41,59,v1.0,0.54,0.8,Software Update/Reset,42.06
Location D,28.15,53,v2.0,0.17,0.94,No Maintenance Needed,220.16
Location B,22.87,57,v2.0,0.41,1.23,No Maintenance Needed,236.8
Location B,31.9,60,v2.0,0.44,2.12,No Maintenance Needed,221.01
Location C,42.43,64,v2.0,0.98,0.5,Cable Inspection/Replacement,15.17
Location D,26.47,61,v2.0,0.85,1.39,No Maintenance Needed,204.53
Location B,33.76,51,v2.0,0.73,1.76,No Maintenance Needed,231.74
Location C,17.65,53,v1.1,0.89,0.48,Software Update/Reset,36.3
Location D,20.35,52,v2.1,0.74,0.91,No Maintenance Needed,280.05
Location A,31.78,51,v1.1,0.9,0.59,Cable Inspection/Replacement,5.52
Location C,39.87,66,v1.1,0.05,1.24,Software Update/Reset,23.73
Location B,30.84,59,v1.1,0.46,0.84,Software Update/Reset,31.05
Location A,25.5,62,v2.1,0.75,0.94,No Maintenance Needed,278.93
Location A,27.99,61,v2.1,0.58,0.81,No Maintenance Needed,282.73
Location A,18.0,74,v2.0,0.18,1.43,Connector Cleaning/Repair,58.8
Location C,32.84,62,v2.0,0.34,1.12,No Maintenance Needed,241.26
Location B,35.06,77,v2.0,0.32,1.12,Connector Cleaning/Repair,36.39
Location A,24.38,55,v2.1,0.26,1.08,No Maintenance Needed,232.67
Location D,24.24,58,v2.0,0.34,1.33,No Maintenance Needed,342.36
Location A,30.13,68,v2.1,0.51,0.88,No Maintenance Needed,255.98
Location A,24.51,65,v1.2,0.85,2.34,Power Supply Unit Fault,2.92
Location C,27.47,55,v1.2,0.74,0.54,No Maintenance Needed,324.3
Location C,44.8,65,v2.0,0.84,0.42,No Maintenance Needed,200.01
Location B,26.02,51,v1.1,0.88,0.4,Software Update/Reset,25.07
Location D,25.13,54,v2.1,0.42,0.35,No Maintenance Needed,322.0
Location C,22.82,59,v2.0,0.35,1.4,No Maintenance Needed,267.32
Location A,33.95,56,v2.1,0.06,1.32,No Maintenance Needed,218.58
Location B,26.55,59,v1.2,0.93,1.83,Cable Inspection/Replacement,5.43
Location A,22.81,50,v2.0,0.07,0.59,No Maintenance Needed,340.5
Location A,38.57,70,v1.2,0.74,1.45,Connector Cleaning/Repair,30.89
Location C,39.36,57,v2.0,0.38,1.03,No Maintenance Needed,317.99
Location B,23.2,64,v2.0,0.95,1.09,Cable Inspection/Replacement,19.13
Location D,13.07,64,v2.1,0.42,1.37,No Maintenance Needed,340.94
Location D,36.06,66,v2.0,0.82,0.69,No Maintenance Needed,281.61
Location C,22.52,60,v1.1,0.28,3.65,Power Supply Unit Fault,2.38
Location C,34.33,59,v2.1,0.3,1.95,No Maintenance Needed,312.53
Location B,12.24,71,v1.1,0.6,0.77,Software Update/Reset,11.59
Location D,35.14,73,v1.2,1.0,0.58,Cable Inspection/Replacement,6.0
Location D,18.31,55,v1.1,0.52,0.96,Software Update/Reset,15.4
Location D,33.85,49,v2.0,0.94,1.1,Cable Inspection/Replacement,19.24
Location A,28.11,63,v1.1,0.79,1.7,Software Update/Reset,26.1
Location D,20.37,72,v1.1,0.8,0.56,Software Update/Reset,15.04
Location A,24.74,48,v2.1,0.44,1.15,No Maintenance Needed,206.58
Location B,33.49,60,v2.0,0.39,0.47,No Maintenance Needed,184.13
Location A,28.85,56,v1.1,0.19,1.24,Software Update/Reset,10.68
Location B,32.68,63,v2.0,0.96,0.95,Cable Inspection/Replacement,16.53
Location D,43.81,60,v2.1,0.96,2.63,Power Supply Unit Fault,3.03
Location D,15.49,79,v1.0,0.75,0.46,Software Update/Reset,39.55
Location B,40.94,60,v2.0,0.3,1.98,No Maintenance Needed,318.52
Location C,28.83,61,v2.0,0.25,0.43,No Maintenance Needed,317.59
Location B,20.81,57,v2.0,0.99,0.51,Cable Inspection/Replacement,16.94
Location C,17.36,47,v1.2,0.07,0.43,No Maintenance Needed,330.06
Location A,26.49,55,v2.0,0.84,1.13,No Maintenance Needed,309.84
Location A,35.37,61,v1.0,0.36,0.56,Software Update/Reset,38.15
Location A,26.98,46,v2.0,0.42,0.51,No Maintenance Needed,261.46
Location D,40.09,63,v1.0,0.83,1.11,Software Update/Reset,17.4
Location A,16.39,59,v1.2,0.09,1.25,No Maintenance Needed,297.37
Location C,27.9,61,v1.1,0.35,1.02,Software Update/Reset,15.66
Location A,17.98,56,v2.0,0.95,0.92,Cable Inspection/Replacement,16.33
Location B,30.91,75,v1.2,0.7,2.5,Power Supply Unit Fault,3.71
Location B,35.1,46,v1.2,0.75,1.08,No Maintenance Needed,236.77
Location D,24.63,71,v1.2,0.76,1.5,Connector Cleaning/Repair,22.56
Location B,7.17,57,v2.0,0.06,1.07,No Maintenance Needed,350.75
Location C,29.59,58,v1.2,0.2,0.58,No Maintenance Needed,221.74
Location A,31.49,63,v2.0,0.49,1.32,No Maintenance Needed,266.53
Location D,31.23,52,v1.0,0.37,0.72,Software Update/Reset,36.3
Location A,37.89,56,v1.1,0.41,0.96,Software Update/Reset,11.33
Location A,19.43,56,v2.0,0.78,1.16,No Maintenance Needed,181.78
Location C,33.44,50,v2.1,0.01,0.38,No Maintenance Needed,312.94
Location B,37.54,59,v1.0,0.66,0.45,Software Update/Reset,26.93
Location B,13.77,66,v1.0,0.0,1.58,Software Update/Reset,25.82
Location A,30.56,63,v1.1,0.06,0.72,Software Update/Reset,32.43
Location D,23.97,49,v2.0,0.41,0.73,No Maintenance Needed,244.22
Location B,27.35,65,v1.2,0.84,1.09,No Maintenance Needed,206.61
Location D,30.78,69,v2.0,0.14,0.82,Connector Cleaning/Repair,23.9
Location B,24.1,64,v1.0,0.55,1.23,Software Update/Reset,23.68
Location D,22.59,57,v1.1,0.68,0.97,Software Update/Reset,11.44
Location C,28.27,63,v1.2,0.23,1.1,No Maintenance Needed,228.44
Location D,19.3,60,v2.0,0.51,0.7,No Maintenance Needed,302.51
Location C,19.31,58,v2.0,0.91,1.1,Cable Inspection/Replacement,12.16
Location C,33.43,45,v1.1,0.51,1.74,Software Update/Reset,26.9
Location D,18.81,57,v2.1,0.16,0.75,No Maintenance Needed,350.44
Location C,33.33,65,v1.2,0.63,1.58,No Maintenance Needed,194.0
Location A,31.7,43,v2.0,0.59,0.97,No Maintenance Needed,199.11
Location C,14.19,55,v2.0,0.03,1.44,No Maintenance Needed,315.16
Location B,22.58,50,v1.1,0.09,1.07,Software Update/Reset,38.1
Location D,37.55,76,v2.0,0.16,0.98,Connector Cleaning/Repair,23.27
Location A,20.15,52,v2.0,0.14,1.19,No Maintenance Needed,250.35
Location D,24.28,57,v1.2,0.26,1.83,No Maintenance Needed,320.8
Location B,31.7,60,v2.0,0.45,1.13,No Maintenance Needed,345.75
Location B,34.27,66,v1.1,0.37,1.27,Software Update/Reset,26.45
Location B,25.99,54,v2.0,0.89,0.83,No Maintenance Needed,341.51
Location C,23.22,60,v1.2,0.61,2.19,No Maintenance Needed,303.93
Location C,39.38,54,v2.0,0.88,1.38,No Maintenance Needed,359.25
Location D,41.91,51,v1.1,0.53,1.04,Software Update/Reset,40.92
Location D,35.83,63,v1.0,0.09,0.94,Software Update/Reset,12.75
Location A,28.68,68,v1.1,0.46,1.63,Software Update/Reset,21.25
Location A,21.53,53,v1.1,0.82,0.74,Software Update/Reset,18.37
Location D,21.36,65,v2.0,0.19,0.41,No Maintenance Needed,242.16
Location C,32.18,72,v1.1,0.09,1.04,Software Update/Reset,27.08
Location B,31.35,65,v2.0,0.33,1.81,No Maintenance Needed,251.84
Location D,39.21,59,v1.1,0.39,2.22,Software Update/Reset,41.64
Location A,33.2,57,v2.0,0.31,0.95,No Maintenance Needed,265.38
Location C,15.98,57,v2.0,0.14,1.02,No Maintenance Needed,268.41
Location D,36.42,62,v2.1,0.25,1.3,No Maintenance Needed,350.46
Location D,20.02,42,v2.1,0.68,0.88,No Maintenance Needed,345.49
Location C,24.93,51,v2.0,0.39,1.29,No Maintenance Needed,349.64
Location D,30.0,48,v2.0,0.63,0.96,No Maintenance Needed,296.95
Location C,43.97,55,v1.2,0.54,1.66,No Maintenance Needed,363.85
Location B,52.88,75,v2.0,0.55,1.44,Connector Cleaning/Repair,59.23
Location C,32.85,59,v2.1,0.25,1.5,No Maintenance Needed,183.36
Location C,26.53,60,v1.0,0.52,0.9,Software Update/Reset,26.75
Location C,32.28,56,v2.0,0.02,2.62,Power Supply Unit Fault,3.87
Location D,35.1,57,v1.1,0.43,1.27,Software Update/Reset,13.22
Location D,25.43,67,v2.0,0.57,1.13,No Maintenance Needed,257.64
Location C,42.36,62,v1.2,0.18,0.68,No Maintenance Needed,356.5
Location D,29.84,55,v2.0,0.26,0.95,No Maintenance Needed,239.04
Location A,31.98,54,v2.0,0.22,1.06,No Maintenance Needed,242.84
Location A,33.33,60,v2.1,0.07,0.67,No Maintenance Needed,312.06
Location D,31.37,76,v2.0,0.35,0.86,Connector Cleaning/Repair,56.1
Location D,34.71,63,v2.0,0.98,0.92,Cable Inspection/Replacement,10.52
Location C,23.06,61,v1.2,0.35,1.03,No Maintenance Needed,257.23
Location B,23.53,54,v1.2,0.46,0.41,No Maintenance Needed,245.39
Location D,19.2,55,v1.2,0.65,0.93,No Maintenance Needed,238.17
Location A,31.52,42,v1.1,0.65,0.83,Software Update/Reset,41.06
Location C,34.23,65,v1.2,0.95,0.99,Cable Inspection/Replacement,12.14
Location D,31.66,59,v2.0,0.86,1.68,No Maintenance Needed,263.26
Location A,41.4,57,v2.0,0.79,2.79,Power Supply Unit Fault,6.46
Location A,27.96,58,v2.0,0.95,1.4,Cable Inspection/Replacement,5.92
Location B,33.35,77,v1.2,0.23,0.54,Connector Cleaning/Repair,48.21
Location C,19.27,60,v1.2,0.62,0.84,No Maintenance Needed,222.79
Location C,24.9,60,v2.0,0.89,1.35,No Maintenance Needed,233.26
Location B,33.56,56,v1.1,0.62,1.27,Software Update/Reset,42.32
Location B,34.79,61,v1.1,0.98,1.64,Cable Inspection/Replacement,10.16
Location C,25.65,55,v1.0,0.1,0.95,Software Update/Reset,41.1
Location C,27.43,57,v1.0,0.44,0.83,Software Update/Reset,33.8
Location D,15.86,57,v1.1,0.98,2.4,Power Supply Unit Fault,4.62
